Name, Hubble Distance (Mly), RA, DEC, Velocity CMB (km/s), Redshift (Helio)
LEDA 2507972, 845.4262700323972, 11h11m11.993s, +55d36m12.79s, 17574.361572625294, 0.058052
LEDA 2496605, 391.31856169434593, 11h11m12.760s, +55d16m42.50s, 8134.563754486334, 0.026558
LEDA 2491013, 1019.0546618398861, 11h11m16.840s, +55d06m49.20s, 21183.674702652977, 0.070082
LEDA 2479663, 2411.090408248301, 11h11m20.459s, +54d46m02.85s, 50120.721487895804, 0.166599
LEDA 2507703, 1232.0458794093504, 11h11m26.171s, +55d35m43.33s, 25611.24550574149, 0.08486
LEDA 213794, 477.42202149634375, 11h11m27.154s, +56d30m21.91s, 9924.44583983522, 0.032552
LEDA 2459292, 1548.3975390754147, 11h11m27.601s, +54d04m59.90s, 32187.429199274535, 0.106767
LEDA 2480670, 719.1985779112553, 11h11m29.910s, +54d47m53.70s, 14950.394018683583, 0.049284
LEDA 34030, 41.68466359723791, 11h11m30.97s, +55d40m26.8s, 866.5230500384587, 0.002322
LEDA 2496290, 1530.0883855670259, 11h11m35.470s, +55d16m11.40s, 31806.82630668546, 0.10552
LEDA 34029, 154.83132592619813, 11h11m35.840s, +56d31m36.90s, 3218.567722637394, 0.010184
LEDA 139538, 2069.921802047255, 11h11m36.370s, +53d34m59.37s, 43028.653669402265, 0.14292
LEDA 2815950, 1098.1056011524802, 11h11m36.870s, +54d59m20.00s, 22826.951992915023, 0.075561
LEDA 2471965, 1046.2879976863137, 11h11m36.800s, +54d31m01.90s, 21749.789700446356, 0.071959
LEDA 2445730, 1541.4611761569847, 11h11m38.717s, +53d36m15.75s, 32043.239038348067, 0.106277
LEDA 2490901, 1015.2916345718475, 11h11m42.940s, +55d06m36.20s, 21105.450492972785, 0.069821
LEDA 34045, 712.5119933322353, 11h11m43.406s, +53d59m18.67s, 14811.396143596105, 0.048805
LEDA 2443726, 1029.7980055610988, 11h11m45.794s, +53d32m00.39s, 21407.002760637683, 0.070797
LEDA 2489976, 392.12235634445597, 11h11m48.300s, +55d04m59.30s, 8151.272695658264, 0.02661
LEDA 2503722, 1036.9220222536276, 11h11m51.960s, +55d29m02.80s, 21555.093788373455, 0.071328
LEDA 2543767, 689.5800065062433, 11h11m52.320s, +56d39m38.80s, 14334.695759015885, 0.047266
LEDA 2513272, 804.4700217008613, 11h11m53.536s, +55d45m18.07s, 16722.980509189612, 0.055215
LEDA 2815951, 1036.0591967898572, 11h11m55.529s, +54d16m02.81s, 21537.157739764756, 0.071245
LEDA 2518865, 1027.2126356449942, 11h11m56.654s, +55d54m50.09s, 21353.259190896384, 0.070663
LEDA 2528159, 1018.6884261470691, 11h12m08.292s, +56d10m37.84s, 21176.061550903956, 0.070077
LEDA 2526448, 916.2649163503263, 11h12m12.470s, +56d07m37.40s, 19046.92521044424, 0.062974
LEDA 2500674, 2013.0642607971622, 11h12m16.858s, +55d24m03.73s, 41846.723294774456, 0.139012
LEDA 2541321, 654.283146669092, 11h12m17.345s, +56d34m55.97s, 13600.959655532137, 0.044817
LEDA 2501579, 1278.487892854828, 11h12m18.265s, +55d25m26.61s, 26576.662320173193, 0.088077
LEDA 2471269, 869.0084105545054, 11h12m21.614s, +54d29m35.93s, 18064.577075600035, 0.059666
LEDA 34081, 578.0910547085318, 11h12m21.925s, +54d01m38.26s, 12017.110867584855, 0.039485
LEDA 2471597, 3113.6585061454707, 11h12m26.580s, +54d30m17.77s, 64725.40816431445, 0.21531
LEDA 139543, 674.7810633732131, 11h12m28.178s, +53d31m28.45s, 14027.061626115536, 0.04618
LEDA 2484482, 1005.3649709751014, 11h12m29.386s, +54d55m00.20s, 20899.099233918172, 0.069129
LEDA 2448587, 1541.7792875084297, 11h12m30.538s, +53d42m27.11s, 32049.85180176555, 0.106301
LEDA 2504689, 1124.6132783916573, 11h12m32.850s, +55d30m36.20s, 23377.98230834856, 0.077409
LEDA 2526403, 1322.394987636454, 11h12m33.720s, +56d07m34.80s, 27489.384324028422, 0.091135
LEDA 2471865, 1364.4752246872963, 11h12m35.820s, +54d30m49.30s, 28364.130386703935, 0.094022
LEDA 2470300, 1363.047789333142, 11h12m43.446s, +54d27m35.25s, 28334.4574679354, 0.093922
LEDA 2500995, 873.0542168615221, 11h12m44.966s, +55d24m34.24s, 18148.679575620048, 0.059964
LEDA 2544485, 695.1110904684531, 11h12m47.244s, +56d41m06.58s, 14449.673578946533, 0.04765
LEDA 2478521, 1086.610005054676, 11h12m47.922s, +54d43m53.81s, 22587.986432609065, 0.074759
LEDA 2487391, 1019.5748027452925, 11h12m50.465s, +55d00m19.20s, 21194.48717047465, 0.070116
LEDA 34117, 729.8026369803922, 11h12m51.473s, +56d14m41.19s, 15170.826686586544, 0.050047
LEDA 2452027, 3117.678693961834, 11h12m53.543s, +53d49m49.01s, 64808.97811805143, 0.215576
LEDA 2503997, 725.858006630455, 11h12m55.263s, +55d29m28.77s, 15088.827389311935, 0.049759
LEDA 34128, 800.0911447637021, 11h12m56.589s, +55d41m00.30s, 16631.954278631725, 0.05491
LEDA 2479134, 1010.876377493582, 11h13m00.407s, +54d45m01.68s, 21013.668007521323, 0.069508
LEDA 2521154, 961.6768036644444, 11h13m00.912s, +55d58m42.38s, 19990.92820117582, 0.06612
LEDA 2496000, 1971.280068401468, 11h13m02.570s, +55d15m36.43s, 40978.13128242318, 0.136112
LEDA 2458569, 2679.931557260776, 11h13m03.540s, +54d03m35.50s, 55709.27690168041, 0.185227
LEDA 2481299, 1031.2359111427602, 11h13m04.564s, +54d49m02.20s, 21436.893330040555, 0.070921
LEDA 34136, 408.4635810798063, 11h13m05.841s, +55d48m31.88s, 8490.96712226695, 0.027757
LEDA 2537078, 505.35857351109826, 11h13m08.549s, +56d26m52.73s, 10505.178996117358, 0.034488
LEDA 2445118, 1529.9008314578314, 11h13m10.243s, +53d34m56.40s, 31802.92751166778, 0.105475
LEDA 2467871, 2025.8199024470218, 11h13m11.858s, +54d22m41.41s, 42111.88214586726, 0.139877
LEDA 34144, 718.874452571862, 11h13m13.264s, +55d33m20.78s, 14943.656239043583, 0.049276
