RA	DEC	NAME	DIAMETER
168.867500	54.373611	LEDA 2467703 , 1078 Mly	0.39
168.871250	55.455833	LEDA 34322 , 509 Mly	1.09
168.871250	53.734444	LEDA 2449326 , 1526 Mly	0.88
168.873333	54.370278	LEDA 2467603 , 1034 Mly	0.60
168.880833	53.517222	LEDA 2443270 , 559 Mly	0.78
168.887500	54.460000	LEDA 2470305 , 1048 Mly	0.33
168.894583	54.560833	LEDA 2473285 , 994 Mly	0.33
168.899167	54.593611	LEDA 2474232 , 1039 Mly	0.57
168.900833	54.023056	LEDA 2457523 , 1548 Mly	0.33
168.902083	53.649444	LEDA 2446962 , 1517 Mly	0.33
168.903333	56.586667	LEDA 2541454 , 552 Mly	0.69
168.904583	54.305000	LEDA 2465636 , 803 Mly	0.33
168.913333	56.019167	LEDA 2522644 , 485 Mly	0.55
168.915417	53.618889	LEDA 2446140 , 1614 Mly	0.33
168.918750	53.854444	LEDA 2452732 , 2039 Mly	0.45
168.923333	54.348611	LEDA 2466964 , 1034 Mly	0.61
168.924583	53.688333	LEDA 2448045 , 1619 Mly	0.46
168.926667	55.923056	LEDA 34337 , 485 Mly	1.01
168.930833	54.522222	LEDA 2472125 , 1029 Mly	0.33
168.931250	55.180278	LEDA 2493264 , 506 Mly	0.95
168.932500	53.782778	LEDA 2450687 , 709 Mly	0.41
168.953333	54.386111	LEDA 2468094 , 2135 Mly	0.49
168.959583	53.660556	LEDA 2447268 , 1628 Mly	0.39
168.974167	53.752500	LEDA 34343 , 2168 Mly	0.45
168.982500	54.598056	LEDA 2474364 , 1038 Mly	0.79
168.987500	53.531389	LEDA 2443655 , 558 Mly	0.41
168.988750	55.802222	LEDA 2514850 , 485 Mly	0.35
169.003333	54.704722	LEDA 2477655 , 615 Mly	0.42
169.010833	53.823611	LEDA 34352 , 312 Mly	0.72
169.015000	55.675556	LEDA 34356 , 498 Mly	0.73
169.023750	55.305833	LEDA 2497480 , 2039 Mly	0.33
169.023750	54.453611	LEDA 2470100 , 982 Mly	0.33
169.034167	54.751111	LEDA 2479154 , 595 Mly	0.50
169.035000	53.939444	LEDA 2455209 , 1548 Mly	0.43
169.035417	55.490000	LEDA 2503967 , 839 Mly	0.50
169.046667	54.119167	LEDA 2460310 , 756 Mly	1.03
169.050833	54.471667	LEDA 2470649 , 1515 Mly	0.40
169.051250	54.517222	LEDA 2471968 , 1030 Mly	0.57
169.051250	54.466111	LEDA 2470476 , 1071 Mly	0.68
169.053750	54.781389	LEDA 2480115 , 593 Mly	0.71
169.055000	54.785000	LEDA 2480239 , 1016 Mly	0.72
169.057917	55.704167	LEDA 34374 , 486 Mly	2.60
169.086667	53.495833	LEDA 2442689 , 2011 Mly	0.59
169.087083	53.711667	LEDA 2448704 , 399 Mly	0.63
169.093333	54.593611	LEDA 2474240 , 1018 Mly	0.48
169.094583	54.971111	LEDA 2486236 , 722 Mly	0.34
169.096250	53.403611	LEDA 2440125 , 1628 Mly	0.36
169.098750	54.612222	LEDA 2474770 , 1021 Mly	0.41
